,HCO3,pH,TDS,Ca,Mg,Precipitation
132,448.35,7.81,375.3,0.81,0.48,1
133,448.35,7.88,378.4,1.21,0.72,1
134,439.2,7.72,375.5,0.6,0.48,0
135,442.25,7.71,372.3,1.01,0.6,0
136,446.83,7.6,375.4,1.0,0.48,0
137,445.3,7.87,371.3,0.6,0.36,1
138,439.2,7.88,371.65,1.71,0.66,0
139,440.73,7.78,371.4,1.2,0.48,0
140,451.4,7.94,378.5,0.8,0.48,1
141,454.45,7.92,381.0,0.6,0.48,1
142,445.3,7.81,374.2,0.7,0.42,0
143,439.2,7.77,371.4,1.0,0.36,1
144,448.35,7.56,376.5,1.2,0.6,0
145,440.73,7.68,371.4,1.2,0.48,0
146,449.88,7.7,376.5,0.8,0.48,0
147,433.1,7.67,370.4,1.2,0.6,0
148,442.25,7.8,371.35,0.8,0.36,0
149,439.2,7.52,369.9,1.21,0.48,1
150,434.63,7.72,370.5,1.01,0.48,1
151,439.2,7.68,371.0,1.21,0.6,0
152,433.1,7.71,370.0,1.01,0.48,0
153,445.3,7.94,378.95,1.21,0.48,0
154,433.1,7.87,369.4,1.61,0.6,0
155,442.25,7.81,373.6,0.91,0.42,0
156,446.83,7.99,381.3,1.0,0.6,0
157,451.4,8.0,380.3,0.9,0.42,1
158,446.83,7.98,378.35,1.2,0.78,1
159,451.4,8.04,378.7,0.8,0.48,1
160,449.88,7.92,376.15,0.8,0.36,0
161,448.35,7.92,378.1,1.1,0.54,0
162,451.4,7.98,380.6,1.0,0.48,0
163,448.35,7.93,381.4,1.2,0.6,0
164,451.4,7.87,378.55,0.9,0.36,0
165,448.35,7.98,377.0,1.2,0.48,1
166,452.93,7.92,380.2,1.4,0.84,0
167,448.35,8.0,383.0,1.2,0.72,0
168,433.1,7.69,369.1,1.6,0.6,0
169,448.35,8.0,383.0,0.6,0.48,0
170,439.2,7.91,374.3,1.2,0.72,0
171,431.58,7.72,368.5,1.2,0.48,0
172,446.83,7.75,376.7,1.0,0.48,1
173,448.35,7.91,381.2,0.8,0.36,0
174,452.93,8.07,383.65,1.2,0.72,1
175,452.93,7.82,380.2,1.4,0.72,0
176,433.1,8.07,383.65,1.2,0.72,0
177,433.1,7.89,369.8,0.8,0.48,0
178,439.2,7.91,371.9,0.8,0.48,1
179,439.2,7.91,373.95,0.9,0.54,0
180,451.4,7.94,384.25,0.8,0.48,0
181,445.3,7.75,374.75,0.6,0.48,0
182,448.35,7.83,378.7,0.8,0.48,0
183,437.68,7.54,370.0,1.5,0.96,0
184,439.2,7.9,374.8,1.1,0.54,0
185,427.0,7.85,369.95,1.3,0.54,0
186,445.3,7.98,375.4,1.4,0.6,1
187,442.25,7.95,378.2,1.2,0.84,1
188,427.0,8.0,362.4,1.6,0.84,1
189,427.0,7.98,362.6,1.2,0.84,0
190,433.1,7.84,370.3,1.0,0.66,0
191,440.73,7.8,369.9,1.2,0.72,0
192,445.3,7.81,375.6,1.0,0.6,0
193,445.3,7.8,373.55,1.0,0.6,0
194,433.1,7.98,369.25,1.1,0.66,0
195,433.1,8.0,367.65,1.0,0.48,0
196,448.35,7.94,377.5,1.2,0.9,0
197,449.88,7.95,377.9,1.0,0.6,0
198,448.35,7.92,377.05,1.3,0.66,0
199,451.4,7.91,377.4,1.0,0.6,0
200,457.5,7.87,382.2,1.1,0.66,0
201,431.58,7.83,368.1,0.9,0.42,0
202,427.0,7.95,364.5,1.0,0.6,0
203,436.15,7.76,369.6,1.0,0.6,0
204,445.3,7.82,372.55,1.1,0.54,1
205,439.2,7.8,370.5,0.8,0.48,0
206,436.15,7.8,368.0,0.8,0.48,0
207,448.35,7.85,378.0,1.0,0.6,0
208,445.3,7.81,374.05,1.5,0.66,1
209,443.78,7.97,372.3,0.8,0.6,0
210,448.35,7.97,378.2,0.8,0.48,0
211,454.45,7.8,380.4,1.4,0.84,0
212,448.35,7.93,373.7,1.2,0.54,1
213,445.3,7.9,373.4,0.8,0.42,0
214,445.3,7.85,373.45,1.6,0.48,0
215,445.3,7.92,374.4,0.8,0.72,0
216,433.1,7.61,367.55,0.8,0.48,0
217,437.68,7.83,368.75,1.3,0.66,0
218,440.73,7.66,368.95,1.0,0.54,1
219,449.88,7.81,372.65,1.2,0.54,1
220,434.63,7.81,365.3,1.3,0.54,0
221,431.58,7.89,374.55,0.8,0.36,0
222,440.73,7.71,366.6,1.4,0.72,0
223,448.35,7.81,371.5,1.6,0.84,0
224,451.4,7.79,374.7,1.2,0.72,0
225,451.4,7.83,378.65,1.1,0.54,0
226,455.98,7.87,380.3,1.0,0.48,0
227,460.55,7.81,379.25,1.2,0.84,1
228,448.35,7.46,376.5,1.2,0.72,0
229,457.5,7.6,382.45,1.4,0.6,0
230,451.4,7.74,379.75,1.6,0.96,1
231,445.3,7.72,373.7,1.1,0.66,1
232,445.3,7.74,369.4,1.2,0.72,1
233,451.4,7.85,382.0,1.8,1.02,0
234,451.4,7.55,376.85,1.2,0.72,0
235,457.5,7.7,382.35,1.5,0.78,0
236,454.45,7.7,380.45,1.4,0.72,0
237,452.93,7.76,380.85,1.2,0.72,0
238,449.88,7.75,379.7,1.2,0.72,0
239,448.35,7.87,378.3,1.4,0.84,1
240,440.73,7.8,373.7,1.2,0.72,0
241,445.3,7.76,373.6,0.8,0.36,1
242,446.83,7.95,373.3,1.0,0.42,0
243,446.83,7.78,372.1,1.2,0.36,1
244,451.4,7.75,380.1,1.2,0.72,1
245,448.35,7.64,377.0,1.2,0.6,0
246,451.4,7.53,380.5,0.8,0.6,0
247,445.3,8.0,380.2,0.8,0.48,0
248,445.3,7.85,381.4,1.2,0.36,1
249,445.3,7.83,377.0,1.1,0.66,0
250,445.3,7.79,377.1,1.0,0.48,0
251,452.93,7.55,380.0,1.2,0.72,1
252,451.4,7.81,378.65,1.1,0.54,0
253,445.3,7.62,372.6,0.8,0.54,0
254,448.35,7.8,375.2,1.2,0.72,0
255,442.25,7.83,371.6,1.1,0.84,1
256,452.93,7.64,376.55,1.6,0.78,1
257,454.45,7.7,374.4,1.2,0.48,0
258,454.45,7.78,376.3,0.8,0.48,0
259,448.35,7.78,376.3,1.0,0.6,0
260,439.2,7.81,368.25,1.0,0.36,1
261,440.73,7.81,370.4,1.3,0.78,0
262,454.45,8.0,377.3,1.2,0.72,0
263,449.88,7.64,374.0,1.1,0.54,1
264,454.45,7.86,373.4,1.0,0.6,0
265,462.08,7.91,383.6,1.3,0.78,1
266,434.63,7.64,367.85,1.2,0.84,0
267,433.1,7.72,367.0,1.5,0.78,1
268,451.4,7.84,374.4,0.5,0.3,0
269,448.35,7.93,374.4,1.0,0.42,0
